"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party_detailed","writein","mode","candidatevotes","totalvotes","unofficial","version","party_simplified"
2004,"ALABAMA","AL",1,63,41,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",1848,1839066,FALSE,"20210114","OTHER"
2004,"ALABAMA","AL",1,63,41,"US SENATE","statewide","gen",FALSE,"RICHARD C. SHELBY","REPUBLICAN",FALSE,"total",1242200,1839066,FALSE,"20210114","REPUBLICAN"
2004,"ALABAMA","AL",1,63,41,"US SENATE","statewide","gen",FALSE,"WAYNE SOWELL","DEMOCRAT",FALSE,"total",595018,1839066,FALSE,"20210114","DEMOCRAT"
2004,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"JIM SKYES","GREEN",FALSE,"total",3053,308315,FALSE,"20210114","OTHER"
2004,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"TONY KNOWLES","DEMOCRAT",FALSE,"total",140424,308315,FALSE,"20210114","DEMOCRAT"
2004,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"LISA MURKOWSKI","REPUBLICAN",FALSE,"total",149773,308315,FALSE,"20210114","REPUBLICAN"
2004,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",423,308315,FALSE,"20210114","OTHER"
2004,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"SCOTT A. KOHLHAAS","ALASKA LIBERTARIAN",FALSE,"total",1240,308315,FALSE,"20210114","OTHER"
2004,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"MARC J. MILLICAN","NONPARTISAN",FALSE,"total",8885,308315,FALSE,"20210114","OTHER"
2004,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"JERRY SANDERS","ALASKAN INDEPENDENCE",FALSE,"total",3785,308315,FALSE,"20210114","OTHER"
2004,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"TED ""BIG"" GIANOUTSOS","NONPARTISAN",FALSE,"total",732,308315,FALSE,"20210114","OTHER"
2004,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"ERNEST HANCOCK","LIBERTARIAN",FALSE,"total",51798,1961677,FALSE,"20210114","LIBERTARIAN"
2004,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"STUART STARKY","DEMOCRAT",FALSE,"total",404507,1961677,FALSE,"20210114","DEMOCRAT"
2004,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"JOHN MCCAIN","REPUBLICAN",FALSE,"total",1505372,1961677,FALSE,"20210114","REPUBLICAN"
2004,"ARKANSAS","AR",5,71,42,"US SENATE","statewide","gen",FALSE,"GLEN A. SCHWARZ","",TRUE,"total",212,1039349,FALSE,"20210114","OTHER"
2004,"ARKANSAS","AR",5,71,42,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",128,1039349,FALSE,"20210114","OTHER"
2004,"ARKANSAS","AR",5,71,42,"US SENATE","statewide","gen",FALSE,"BLANCHE L. LINCOLN","DEMOCRAT",FALSE,"total",580973,1039349,FALSE,"20210114","DEMOCRAT"
2004,"ARKANSAS","AR",5,71,42,"US SENATE","statewide","gen",FALSE,"JIM HOLT","REPUBLICAN",FALSE,"total",458036,1039349,FALSE,"20210114","REPUBLICAN"
2004,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"BARBARA BOXER","DEMOCRAT",FALSE,"total",6955728,12053295,FALSE,"20210114","DEMOCRAT"
2004,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"DON J. GRUNDMANN","AMERICAN INDEPENDENT",FALSE,"total",81224,12053295,FALSE,"20210114","OTHER"
2004,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"JAMES P. ""JIM"" GRAY","LIBERTARIAN",FALSE,"total",216522,12053295,FALSE,"20210114","LIBERTARIAN"
2004,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"MARSHA FEINLAND","PEACE AND FREEDOM",FALSE,"total",243846,12053295,FALSE,"20210114","OTHER"
2004,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",53,12053295,FALSE,"20210114","OTHER"
2004,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"BILL JONES","REPUBLICAN",FALSE,"total",4555922,12053295,FALSE,"20210114","REPUBLICAN"
